query_player_id,query_name,query_position,query_age,query_fa,rec_1_player_id,rec_1_name,rec_1_position,rec_1_age,rec_1_similarity,rec_2_player_id,rec_2_name,rec_2_position,rec_2_age,rec_2_similarity,rec_3_player_id,rec_3_name,rec_3_position,rec_3_age,rec_3_similarity
518653,Jake Elmore,SS,32,0,595879.0,Javier Báez,SS,29.0,0.40455007553100586,543760.0,Marcus Semien,SS,31.0,0.393276572227478,596115.0,Trevor Story,SS,29.0,0.31425854563713074
518692,Freddie Freeman,1B,32,1,,,,,,,,,,,,,,,
518735,Yasmani Grandal,C,33,0,,,,,,,,,,,,,,,
518792,Jason Heyward,OF,32,0,607680.0,Kevin Pillar,OF,33.0,0.8858852386474609,624585.0,Jorge Soler,OF,30.0,0.5808278322219849,592206.0,Nick Castellanos,OF,30.0,0.5268039107322693
518902,Pete Kozma,SS,33,0,543760.0,Marcus Semien,SS,31.0,0.8467563986778259,595879.0,Javier Báez,SS,29.0,0.8339364528656006,596115.0,Trevor Story,SS,29.0,0.8290010690689087
518934,DJ LeMahieu,2B,33,0,456781.0,Donovan Solano,2B,34.0,0.8104486465454102,,,,,,,,,,
518960,Jonathan Lucroy,C,35,0,,,,,,,,,,,,,,,
519023,Devin Mesoraco,C,30,0,,,,,,,,,,,,,,,
519048,Mitch Moreland,1B,35,0,518692.0,Freddie Freeman,1B,32.0,0.5764948129653931,,,,,,,,,,
519058,Mike Moustakas,3B,33,0,592178.0,Kris Bryant,3B,30.0,0.7783077955245972,,,,,,,,,,
519068,Efren Navarro,1B,32,0,518692.0,Freddie Freeman,1B,32.0,0.7505372762680054,,,,,,,,,,
519203,Anthony Rizzo,1B,32,0,518692.0,Freddie Freeman,1B,32.0,0.6056257486343384,,,,,,,,,,
519222,Austin Romine,C,33,0,,,,,,,,,,,,,,,
519299,Eric Sogard,2B,35,0,456781.0,Donovan Solano,2B,34.0,0.7185634970664978,,,,,,,,,,
519306,Steven Souza Jr.,OF,33,0,607680.0,Kevin Pillar,OF,33.0,0.8050671219825745,624585.0,Jorge Soler,OF,30.0,0.2852015495300293,592206.0,Nick Castellanos,OF,30.0,0.1822216808795929
